,Correlation,dataset,Init
0,0.9768972974932718,bonemarrow,PCA
1,0.9249539132002765,bonemarrow,PCA
2,0.9213508018811724,bonemarrow,PCA
3,0.8964062760044123,bonemarrow,PCA
4,0.6710897045706137,bonemarrow,PCA
5,0.5008831754173689,bonemarrow,PCA
6,0.5786988537320394,bonemarrow,PCA
0,0.03075453810948974,bonemarrow,random
1,0.5649873396254046,bonemarrow,random
2,0.5577322534483522,bonemarrow,random
3,0.4295487385475783,bonemarrow,random
4,0.7559116450288873,bonemarrow,random
5,0.32389212819380025,bonemarrow,random
6,0.31855214399967446,bonemarrow,random
0,0.9916157655848059,forebrain,PCA
1,0.9328513929607933,forebrain,PCA
2,0.87465305142274,forebrain,PCA
3,0.8092208253731755,forebrain,PCA
4,0.4980567968980658,forebrain,PCA
5,0.6310014742241974,forebrain,PCA
6,0.3809637696703676,forebrain,PCA
0,0.0826162823396952,forebrain,random
1,0.7137630238533581,forebrain,random
2,0.2859396750334765,forebrain,random
3,0.3902833778765824,forebrain,random
4,0.5320714672433539,forebrain,random
5,0.7805771793023348,forebrain,random
6,0.6608511086364245,forebrain,random
0,0.9807951958012581,gastrulation,PCA
1,0.9820146866334168,gastrulation,PCA
2,0.9710167163868872,gastrulation,PCA
3,0.9555567702959596,gastrulation,PCA
4,0.9499047920748591,gastrulation,PCA
5,0.9103654503669297,gastrulation,PCA
6,0.9449594476173179,gastrulation,PCA
0,0.05735323045502961,gastrulation,random
1,0.24779234301606207,gastrulation,random
2,0.19587491460394788,gastrulation,random
3,0.2835077358532547,gastrulation,random
4,0.35747138126115197,gastrulation,random
5,0.30961093081147945,gastrulation,random
6,0.36409354962628127,gastrulation,random
0,0.9917982111999484,pancreas,PCA
1,0.8455100718064136,pancreas,PCA
2,0.836429154777885,pancreas,PCA
3,0.8152797509212192,pancreas,PCA
4,0.7278219565984656,pancreas,PCA
5,0.5064702897516771,pancreas,PCA
6,0.7056616703454408,pancreas,PCA
0,0.0016561508111003508,pancreas,random
1,0.3482624794419537,pancreas,random
2,0.7197357300650392,pancreas,random
3,0.41812403754493976,pancreas,random
4,0.5280328020118005,pancreas,random
5,0.5478120902323984,pancreas,random
6,0.1981445425140804,pancreas,random
0,0.9946767653623186,pbmc10k,PCA
1,0.9634671315044949,pbmc10k,PCA
2,0.9750537484217559,pbmc10k,PCA
3,0.8682145695115245,pbmc10k,PCA
4,0.8989906030064543,pbmc10k,PCA
5,0.812902538103496,pbmc10k,PCA
6,0.6856485635293508,pbmc10k,PCA
0,0.07172575251955103,pbmc10k,random
1,0.49596153999780435,pbmc10k,random
2,0.4521185171697649,pbmc10k,random
3,0.4277793291363158,pbmc10k,random
4,0.5783993134804692,pbmc10k,random
5,0.27143084491775415,pbmc10k,random
6,0.5207534545707247,pbmc10k,random
0,0.9936413341893562,pbmc3k,PCA
1,0.9317370526039316,pbmc3k,PCA
2,0.902529612840097,pbmc3k,PCA
3,0.9196740481262388,pbmc3k,PCA
4,0.5808841855955261,pbmc3k,PCA
5,0.4742939796415798,pbmc3k,PCA
6,0.5607008153149798,pbmc3k,PCA
0,0.03637023820488053,pbmc3k,random
1,0.3363224607949858,pbmc3k,random
2,0.9334888597749882,pbmc3k,random
3,0.570203810444257,pbmc3k,random
4,0.3855620531299811,pbmc3k,random
5,0.49522978238878534,pbmc3k,random
6,0.7131092177655468,pbmc3k,random
