,Correlation,dataset,Init
0,0.9928276712564418,bonemarrow,PCA
1,0.9365539369820056,bonemarrow,PCA
2,0.9030792919182131,bonemarrow,PCA
3,0.8494021532945077,bonemarrow,PCA
4,0.9102466486816945,bonemarrow,PCA
5,0.7354318798704499,bonemarrow,PCA
6,0.9222817083802604,bonemarrow,PCA
0,0.047361030740156546,bonemarrow,random
1,0.34888684742236736,bonemarrow,random
2,0.31931189568071755,bonemarrow,random
3,0.4008716600006647,bonemarrow,random
4,0.4077252515989578,bonemarrow,random
5,0.23314076737152972,bonemarrow,random
6,0.29857160023361784,bonemarrow,random
0,0.9959722099216344,forebrain,PCA
1,0.784243733352306,forebrain,PCA
2,0.6860546580551692,forebrain,PCA
3,0.9602383501310282,forebrain,PCA
4,0.5875745431313535,forebrain,PCA
5,0.9113734244428635,forebrain,PCA
6,0.8689917870016253,forebrain,PCA
0,0.03599417427377965,forebrain,random
1,0.11542030831799915,forebrain,random
2,0.30893209471407984,forebrain,random
3,0.44035494108457324,forebrain,random
4,0.7360878239958589,forebrain,random
5,0.8414854777394062,forebrain,random
6,0.23101139461052556,forebrain,random
0,0.9950600379178393,gastrulation,PCA
1,0.9873810589518557,gastrulation,PCA
2,0.9899585001265493,gastrulation,PCA
3,0.9785017720970562,gastrulation,PCA
4,0.9797931866948469,gastrulation,PCA
5,0.9697932959333857,gastrulation,PCA
6,0.9651544978254178,gastrulation,PCA
0,0.04840000918984163,gastrulation,random
1,0.21881393589707748,gastrulation,random
2,0.14170885716559758,gastrulation,random
3,0.45132495595138244,gastrulation,random
4,0.37636046759556724,gastrulation,random
5,0.12345420295873856,gastrulation,random
6,0.21546541145244175,gastrulation,random
0,0.9957282392158644,pancreas,PCA
1,0.8641503268321918,pancreas,PCA
2,0.8876020436796572,pancreas,PCA
3,0.7810993545153685,pancreas,PCA
4,0.9758420656729686,pancreas,PCA
5,0.5928734116117211,pancreas,PCA
6,0.9749167450583756,pancreas,PCA
0,0.06425980175338826,pancreas,random
1,0.023678848178044477,pancreas,random
2,0.6870703441296974,pancreas,random
3,0.26317453130179314,pancreas,random
4,0.6088275801672358,pancreas,random
5,0.6473865840178346,pancreas,random
6,0.07694277510079581,pancreas,random
0,0.9895109916943491,pbmc10k,PCA
1,0.9622546746049144,pbmc10k,PCA
2,0.957656369768263,pbmc10k,PCA
3,0.9290304395904675,pbmc10k,PCA
4,0.9528414587804869,pbmc10k,PCA
5,0.9467784114883003,pbmc10k,PCA
6,0.8772845718076574,pbmc10k,PCA
0,0.01969481131907604,pbmc10k,random
1,0.26653770922519804,pbmc10k,random
2,0.527405876553958,pbmc10k,random
3,0.4914085506221549,pbmc10k,random
4,0.3859294207739568,pbmc10k,random
5,0.3529694498590071,pbmc10k,random
6,0.35665461160522643,pbmc10k,random
0,0.9876835097259605,pbmc3k,PCA
1,0.7661701122730892,pbmc3k,PCA
2,0.9842104785103885,pbmc3k,PCA
3,0.6707913125513685,pbmc3k,PCA
4,0.8800282633520985,pbmc3k,PCA
5,0.7237085646953545,pbmc3k,PCA
6,0.941565649593712,pbmc3k,PCA
0,0.02269232388747217,pbmc3k,random
1,0.12814845032670058,pbmc3k,random
2,0.7952386777603688,pbmc3k,random
3,0.38931025132642166,pbmc3k,random
4,0.33032045586677755,pbmc3k,random
5,0.4479283846286524,pbmc3k,random
6,0.5427101509622213,pbmc3k,random
